row,col,data
0,3,1.0
1,3,1.0
2,6,1.0
3,0,1.0
3,1,1.0
4,4,1.0
5,3,1.0
6,7,1.0
7,6,1.0
8,4,1.0
9,5,1.0
10,0,1.0
11,7,1.0
12,7,1.0
13,0,1.0
14,6,1.0
16,3,1.0
17,7,1.0
20,3,1.0
21,0,1.0
22,6,1.0
23,0,1.0
24,6,1.0
25,3,1.0
26,0,1.0
28,3,1.0
29,0,1.0
30,6,1.0
31,6,1.0
32,3,1.0
33,3,1.0
34,6,1.0
35,6,1.0
36,3,1.0
37,6,1.0
38,7,1.0
39,0,1.0
40,6,1.0
41,0,1.0
42,3,1.0
43,0,1.0
44,3,1.0
45,7,1.0
46,0,1.0
47,0,1.0
48,6,1.0
49,3,1.0
50,3,1.0
51,3,1.0
52,3,1.0
53,4,1.0
54,0,1.0
55,3,1.0
56,3,1.0
57,0,1.0
58,3,1.0
59,5,1.0
60,0,1.0
61,3,1.0
62,3,1.0
63,0,1.0
64,0,1.0
65,6,1.0
66,6,1.0
67,4,1.0
68,3,1.0
69,3,1.0
70,0,1.0
71,0,1.0
72,7,1.0
73,0,1.0
74,7,1.0
75,3,1.0
76,4,1.0
77,0,1.0
78,7,1.0
79,3,1.0
80,0,1.0
81,3,1.0
82,0,1.0
83,0,1.0
84,4,1.0
84,5,1.0
85,7,1.0
86,3,1.0
87,0,1.0
88,3,1.0
89,4,1.0
90,7,1.0
91,6,1.0
92,0,1.0
93,3,1.0
94,3,1.0
95,0,1.0
96,3,1.0
97,3,1.0
98,6,1.0
99,4,1.0
100,3,1.0
101,4,1.0
102,3,1.0
103,5,1.0
104,0,1.0
105,0,1.0
106,7,1.0
107,3,1.0
108,6,1.0
109,0,1.0
110,4,1.0
111,3,1.0
112,6,1.0
113,3,1.0
114,6,1.0
115,0,1.0
116,3,1.0
117,0,1.0
118,4,1.0
119,6,1.0
120,3,1.0
121,3,1.0
122,7,1.0
123,0,1.0
124,0,1.0
125,6,1.0
126,0,1.0
127,0,1.0
128,0,1.0
129,6,1.0
130,0,1.0
131,3,1.0
132,6,1.0
133,3,1.0
134,6,1.0
135,6,1.0
136,3,1.0
137,3,1.0
138,3,1.0
139,0,1.0
140,0,1.0
141,3,1.0
142,0,1.0
143,3,1.0
144,3,1.0
145,0,1.0
146,7,1.0
147,0,1.0
148,0,1.0
149,1,1.0
149,3,1.0
150,7,1.0
151,7,1.0
152,3,1.0
153,0,1.0
154,6,1.0
155,6,1.0
156,0,1.0
157,3,1.0
159,4,1.0
161,3,1.0
162,5,1.0
163,0,1.0
165,0,1.0
166,3,1.0
167,0,1.0
168,6,1.0
169,1,1.0
169,6,1.0
170,3,1.0
171,3,1.0
172,4,1.0
173,6,1.0
174,0,1.0
175,5,1.0
176,4,1.0
177,4,1.0
178,6,1.0
179,0,1.0
180,6,1.0
181,3,1.0
182,0,1.0
183,7,1.0
184,0,1.0
185,0,1.0
186,0,1.0
187,7,1.0
188,0,1.0
189,4,1.0
190,7,1.0
191,0,1.0
192,5,1.0
193,6,1.0
194,3,1.0
195,5,1.0
196,0,1.0
197,5,1.0
198,0,1.0
199,3,1.0
200,6,1.0
201,6,1.0
202,5,1.0
203,3,1.0
204,3,1.0
205,6,1.0
206,6,1.0
207,0,1.0
208,4,1.0
209,6,1.0
210,3,1.0
211,0,1.0
212,3,1.0
213,7,1.0
215,6,1.0
216,1,1.0
217,0,1.0
218,4,1.0
219,3,1.0
220,3,1.0
221,0,1.0
222,0,1.0
223,7,1.0
224,3,1.0
226,6,1.0
227,6,1.0
228,0,1.0
229,3,1.0
230,3,1.0
231,3,1.0
232,3,1.0
232,6,1.0
233,3,1.0
234,3,1.0
235,4,1.0
236,0,1.0
237,7,1.0
238,6,1.0
239,5,1.0
240,3,1.0
241,1,1.0
241,3,1.0
242,0,1.0
243,0,1.0
244,6,1.0
245,0,1.0
246,1,1.0
246,6,1.0
247,6,1.0
248,7,1.0
249,7,1.0
250,0,1.0
251,0,1.0
252,3,1.0
253,6,1.0
254,6,1.0
255,0,1.0
256,0,1.0
257,4,1.0
258,1,1.0
258,6,1.0
259,6,1.0
260,0,1.0
261,3,1.0
262,3,1.0
264,3,1.0
265,3,1.0
266,0,1.0
267,5,1.0
268,3,1.0
269,0,1.0
270,3,1.0
271,1,1.0
271,4,1.0
272,7,1.0
273,3,1.0
274,3,1.0
275,6,1.0
276,6,1.0
277,6,1.0
278,3,1.0
279,6,1.0
280,3,1.0
281,3,1.0
282,4,1.0
283,3,1.0
284,0,1.0
285,3,1.0
286,4,1.0
287,6,1.0
288,3,1.0
289,3,1.0
290,4,1.0
291,7,1.0
292,0,1.0
292,6,1.0
293,7,1.0
294,0,1.0
294,3,1.0
295,3,1.0
296,3,1.0
297,3,1.0
298,7,1.0
299,3,1.0
300,3,1.0
301,5,1.0
302,0,1.0
303,3,1.0
304,3,1.0
306,3,1.0
307,6,1.0
308,3,1.0
309,3,1.0
311,6,1.0
312,4,1.0
313,6,1.0
314,6,1.0
316,6,1.0
317,0,1.0
318,5,1.0
319,3,1.0
320,3,1.0
321,0,1.0
322,6,1.0
323,3,1.0
324,7,1.0
325,2,1.0
325,3,1.0
326,4,1.0
327,6,1.0
328,7,1.0
329,7,1.0
330,0,1.0
331,7,1.0
332,6,1.0
333,7,1.0
334,4,1.0
335,0,1.0
336,0,1.0
337,6,1.0
338,0,1.0
339,7,1.0
340,6,1.0
341,4,1.0
342,6,1.0
343,0,1.0
344,7,1.0
345,3,1.0
346,3,1.0
347,3,1.0
348,0,1.0
349,3,1.0
350,4,1.0
351,3,1.0
352,0,1.0
353,4,1.0
354,4,1.0
355,4,1.0
356,3,1.0
357,0,1.0
358,6,1.0
359,0,1.0
360,4,1.0
361,0,1.0
362,0,1.0
363,0,1.0
363,7,1.0
364,3,1.0
365,0,1.0
366,3,1.0
367,3,1.0
368,0,1.0
369,3,1.0
370,6,1.0
371,7,1.0
372,0,1.0
373,3,1.0
374,3,1.0
375,0,1.0
376,3,1.0
377,4,1.0
378,6,1.0
379,3,1.0
380,3,1.0
381,0,1.0
382,0,1.0
383,0,1.0
384,3,1.0
385,3,1.0
386,6,1.0
387,3,1.0
388,4,1.0
389,6,1.0
390,0,1.0
391,4,1.0
392,4,1.0
392,6,1.0
393,3,1.0
394,3,1.0
395,3,1.0
396,3,1.0
397,6,1.0
398,0,1.0
399,3,1.0
400,4,1.0
401,3,1.0
402,6,1.0
403,6,1.0
404,3,1.0
405,7,1.0
406,6,1.0
407,7,1.0
408,3,1.0
409,4,1.0
410,0,1.0
411,6,1.0
412,6,1.0
414,0,1.0
415,0,1.0
416,6,1.0
417,4,1.0
418,0,1.0
419,6,1.0
420,3,1.0
421,3,1.0
422,4,1.0
423,3,1.0
425,0,1.0
426,0,1.0
427,3,1.0
428,3,1.0
429,3,1.0
430,0,1.0
431,4,1.0
432,0,1.0
433,3,1.0
434,5,1.0
435,3,1.0
436,4,1.0
437,3,1.0
439,5,1.0
440,3,1.0
441,0,1.0
442,3,1.0
443,6,1.0
444,5,1.0
445,4,1.0
446,3,1.0
447,7,1.0
448,0,1.0
449,6,1.0
450,4,1.0
451,3,1.0
452,0,1.0
453,7,1.0
454,0,1.0
455,3,1.0
456,0,1.0
457,6,1.0
458,3,1.0
459,3,1.0
460,7,1.0
461,0,1.0
462,0,1.0
463,0,1.0
464,5,1.0
465,0,1.0
466,3,1.0
467,0,1.0
468,3,1.0
469,3,1.0
470,6,1.0
471,0,1.0
472,3,1.0
473,6,1.0
474,3,1.0
475,3,1.0
476,3,1.0
477,6,1.0
478,0,1.0
479,0,1.0
480,7,1.0
481,0,1.0
482,5,1.0
483,3,1.0
484,3,1.0
485,0,1.0
486,6,1.0
487,6,1.0
488,3,1.0
489,5,1.0
491,3,1.0
492,3,1.0
493,0,1.0
494,7,1.0
495,3,1.0
496,3,1.0
497,4,1.0
498,3,1.0
499,6,1.0
500,7,1.0
501,0,1.0
502,6,1.0
503,4,1.0
504,0,1.0
504,6,1.0
505,3,1.0
506,3,1.0
507,7,1.0
508,4,1.0
509,3,1.0
510,6,1.0
