row,col,data
0,70,1.0
1,27,1.0
2,40,1.0
3,50,1.0
4,62,1.0
5,3,1.0
6,99,1.0
7,102,1.0
8,62,1.0
9,61,1.0
10,24,1.0
11,12,1.0
12,96,1.0
13,24,1.0
14,67,1.0
15,50,1.0
16,26,1.0
17,96,1.0
18,15,1.0
19,1,1.0
20,39,1.0
20,90,1.0
21,24,1.0
22,1,1.0
23,0,1.0
24,67,1.0
25,73,1.0
26,50,1.0
27,102,1.0
28,3,1.0
29,57,1.0
30,110,1.0
31,67,1.0
32,90,1.0
33,5,1.0
33,89,1.0
34,1,1.0
35,1,1.0
36,90,1.0
37,49,1.0
38,9,1.0
39,72,1.0
40,102,1.0
41,15,1.0
41,100,1.0
42,103,1.0
43,15,1.0
44,15,1.0
44,47,1.0
45,96,1.0
46,98,1.0
47,15,1.0
48,45,1.0
49,90,1.0
50,90,1.0
51,103,1.0
52,27,1.0
53,62,1.0
54,19,1.0
55,59,1.0
56,103,1.0
57,24,1.0
58,85,1.0
59,61,1.0
60,72,1.0
62,27,1.0
63,15,1.0
64,19,1.0
65,45,1.0
66,45,1.0
67,28,1.0
67,62,1.0
68,73,1.0
69,47,1.0
70,31,1.0
71,15,1.0
72,99,1.0
73,83,1.0
74,104,1.0
75,90,1.0
76,62,1.0
77,15,1.0
78,55,1.0
79,103,1.0
80,15,1.0
81,3,1.0
82,48,1.0
83,24,1.0
84,62,1.0
85,12,1.0
86,103,1.0
87,50,1.0
89,94,1.0
91,30,1.0
92,15,1.0
93,90,1.0
94,95,1.0
95,72,1.0
96,86,1.0
97,103,1.0
98,67,1.0
99,62,1.0
100,73,1.0
101,62,1.0
102,90,1.0
103,77,1.0
104,72,1.0
106,12,1.0
107,52,1.0
108,25,1.0
109,57,1.0
110,62,1.0
111,90,1.0
112,25,1.0
113,95,1.0
114,105,1.0
115,15,1.0
116,85,1.0
117,83,1.0
118,62,1.0
119,87,1.0
120,38,1.0
121,3,1.0
122,99,1.0
123,48,1.0
124,50,1.0
125,30,1.0
126,83,1.0
127,15,1.0
128,57,1.0
129,25,1.0
130,24,1.0
131,90,1.0
132,49,1.0
133,52,1.0
134,87,1.0
135,45,1.0
136,103,1.0
137,90,1.0
138,90,1.0
139,98,1.0
140,36,1.0
141,90,1.0
142,111,1.0
143,70,1.0
144,103,1.0
145,0,1.0
146,55,1.0
147,50,1.0
148,33,1.0
149,47,1.0
150,12,1.0
150,110,1.0
151,96,1.0
152,38,1.0
153,15,1.0
154,1,1.0
155,8,1.0
155,35,1.0
156,33,1.0
157,3,1.0
158,26,1.0
159,94,1.0
160,15,1.0
161,90,1.0
162,61,1.0
163,15,1.0
164,102,1.0
165,83,1.0
166,103,1.0
167,15,1.0
168,30,1.0
169,49,1.0
170,3,1.0
171,103,1.0
172,94,1.0
173,1,1.0
174,57,1.0
175,77,1.0
176,62,1.0
177,62,1.0
178,40,1.0
179,53,1.0
180,65,1.0
181,103,1.0
182,57,1.0
183,39,1.0
184,2,1.0
185,15,1.0
186,15,1.0
187,99,1.0
188,15,1.0
189,62,1.0
190,34,1.0
191,15,1.0
192,77,1.0
193,65,1.0
194,103,1.0
195,77,1.0
196,24,1.0
197,61,1.0
198,19,1.0
199,27,1.0
200,1,1.0
201,67,1.0
202,75,1.0
203,90,1.0
204,27,1.0
205,67,1.0
206,40,1.0
207,36,1.0
208,94,1.0
209,22,1.0
210,38,1.0
211,15,1.0
212,86,1.0
213,104,1.0
214,65,1.0
215,49,1.0
216,16,1.0
217,15,1.0
218,62,1.0
219,7,1.0
220,103,1.0
221,72,1.0
222,24,1.0
223,12,1.0
224,103,1.0
225,76,1.0
227,45,1.0
228,2,1.0
229,3,1.0
230,103,1.0
231,3,1.0
232,46,1.0
232,67,1.0
233,27,1.0
234,90,1.0
236,57,1.0
237,96,1.0
238,102,1.0
239,61,1.0
240,90,1.0
241,7,1.0
241,12,1.0
242,15,1.0
243,83,1.0
244,80,1.0
245,98,1.0
246,25,1.0
247,67,1.0
248,104,1.0
249,12,1.0
250,15,1.0
251,24,1.0
252,103,1.0
253,105,1.0
254,65,1.0
255,24,1.0
256,33,1.0
257,62,1.0
258,102,1.0
259,87,1.0
260,15,1.0
261,103,1.0
262,103,1.0
263,10,1.0
263,94,1.0
264,90,1.0
265,85,1.0
266,15,1.0
267,61,1.0
269,15,1.0
270,52,1.0
271,94,1.0
272,96,1.0
273,27,1.0
274,90,1.0
275,22,1.0
276,67,1.0
277,65,1.0
278,3,1.0
278,83,1.0
280,70,1.0
282,94,1.0
283,90,1.0
284,48,1.0
285,103,1.0
286,94,1.0
287,22,1.0
288,103,1.0
289,103,1.0
290,94,1.0
291,96,1.0
292,40,1.0
293,12,1.0
294,31,1.0
295,86,1.0
296,95,1.0
297,90,1.0
298,39,1.0
299,90,1.0
300,3,1.0
301,61,1.0
302,24,1.0
303,90,1.0
304,38,1.0
305,15,1.0
306,103,1.0
308,103,1.0
309,3,1.0
310,87,1.0
311,40,1.0
312,94,1.0
313,1,1.0
314,67,1.0
315,53,1.0
316,45,1.0
317,50,1.0
318,61,1.0
319,103,1.0
320,103,1.0
321,24,1.0
322,60,1.0
323,103,1.0
324,12,1.0
325,85,1.0
326,94,1.0
327,67,1.0
328,9,1.0
329,96,1.0
330,57,1.0
331,39,1.0
332,1,1.0
333,104,1.0
334,94,1.0
335,50,1.0
336,15,1.0
337,109,1.0
338,57,1.0
339,104,1.0
340,22,1.0
341,76,1.0
342,1,1.0
343,33,1.0
344,96,1.0
345,59,1.0
346,3,1.0
347,103,1.0
348,15,1.0
349,90,1.0
350,94,1.0
351,90,1.0
352,50,1.0
353,94,1.0
354,94,1.0
355,51,1.0
355,94,1.0
356,90,1.0
357,53,1.0
358,67,1.0
359,50,1.0
360,94,1.0
361,72,1.0
362,24,1.0
363,96,1.0
364,101,1.0
365,15,1.0
366,27,1.0
367,103,1.0
368,2,1.0
369,90,1.0
370,45,1.0
371,99,1.0
372,50,1.0
373,38,1.0
374,3,1.0
375,15,1.0
376,47,1.0
377,94,1.0
378,49,1.0
379,3,1.0
380,85,1.0
381,15,1.0
381,105,1.0
382,24,1.0
383,31,1.0
384,95,1.0
385,27,1.0
386,105,1.0
387,38,1.0
388,62,1.0
389,102,1.0
390,15,1.0
391,14,1.0
392,18,1.0
393,3,1.0
394,103,1.0
395,90,1.0
396,103,1.0
397,22,1.0
398,50,1.0
399,7,1.0
400,94,1.0
401,70,1.0
402,102,1.0
403,18,1.0
404,35,1.0
404,90,1.0
405,96,1.0
406,67,1.0
407,39,1.0
408,103,1.0
409,62,1.0
410,15,1.0
411,109,1.0
412,79,1.0
413,94,1.0
414,50,1.0
415,15,1.0
416,1,1.0
417,62,1.0
418,15,1.0
419,49,1.0
419,67,1.0
420,90,1.0
421,90,1.0
423,52,1.0
424,48,1.0
425,15,1.0
426,83,1.0
427,103,1.0
428,38,1.0
429,90,1.0
430,72,1.0
431,62,1.0
432,36,1.0
433,103,1.0
434,77,1.0
435,90,1.0
436,94,1.0
437,3,1.0
438,67,1.0
439,77,1.0
440,5,1.0
441,15,1.0
442,90,1.0
443,54,1.0
443,67,1.0
444,61,1.0
445,94,1.0
446,103,1.0
447,12,1.0
448,23,1.0
449,87,1.0
450,94,1.0
451,103,1.0
452,15,1.0
453,96,1.0
454,72,1.0
455,3,1.0
456,50,1.0
457,49,1.0
458,90,1.0
459,103,1.0
460,12,1.0
461,48,1.0
462,48,1.0
463,15,1.0
464,77,1.0
465,15,1.0
466,27,1.0
467,50,1.0
468,103,1.0
469,27,1.0
470,32,1.0
471,15,1.0
472,90,1.0
474,59,1.0
475,103,1.0
477,49,1.0
478,24,1.0
479,24,1.0
480,96,1.0
481,57,1.0
